Kezdes;nev;adatDb
21600;Laci;2
21660;Bandi;3
21660;Gyuri;2
21780;Tomi;4
22020;Bandi;2
22020;Zsombor;1
22080;Peti;1
22080;Józsi;4
22080;Csabi;1
22200;Sanyi;3
22260;Zoli;1
22260;Józsi;2
22380;Jani;1
22620;Bandi;1
22800;Bandi;2
22800;Laci;2
22860;Pityu;1
23100;Bandi;1
23220;Gabi;1
23400;Józsi;2
23520;Pityu;2
23520;Gabi;2
23580;Tomi;2
23700;Sanyi;1
23700;Tibi;3
23760;Zsombor;1
23880;Józsi;3
23880;Tibi;1
24000;Jani;1
24120;Peti;3
24120;Józsi;4
24180;Zsombor;1
24360;Imi;3
24420;Bandi;4
24480;Gyuri;3
24540;Peti;4
24600;Józsi;1
24660;Bandi;1
24780;Imi;3
24900;Peti;2
25080;Csabi;1
25260;Feri;2
25260;Lali;1
25440;Feri;3
25500;Gabi;4
25560;Jani;2
25620;Tomi;3
25620;Bandi;4
25800;Imi;1
25800;Zoli;1
25800;Csabi;3
25920;Bandi;3
26160;Gabi;1
26160;Feri;1
26340;Jani;2
26340;Józsi;2
26400;Gyuri;2
26400;Józsi;3
26520;Bandi;3
26580;Zoli;1
26640;Gabi;3
26700;Zoli;4
26820;Laci;2
26880;Tibi;1
27120;Zsolti;1
27180;Peti;3
27240;Zsombor;1
27360;Zsombor;4
27420;Pityu;3
27420;Zoli;1
27480;Zsolti;4
27480;Laci;2
27540;Pityu;4
27540;Gyuri;2
27600;Bandi;1
27600;Laci;3
27780;Gabi;4
27900;Gyuri;4
28020;Józsi;1
28080;Feri;1
28080;Bandi;1
28140;Tomi;1
28200;Peti;2
28200;Csabi;1
28200;Gyuri;3
28320;Zsolti;4
28380;Sanyi;1
28500;Jani;4
28560;Peti;2
28560;Tomi;2
28560;Tibi;4
28680;Sanyi;1
28680;Tomi;3
29040;Sanyi;3
29040;Jani;4
29040;Zsombor;4
29040;Lali;3
29160;Gyuszi;2
29160;Gyuszi;1
29160;Tibi;1
29340;Bandi;4
29340;Pityu;2
29340;Sanyi;3
29340;Gabi;1
29400;Csabi;3
29400;Lali;2
29520;Pityu;3
29520;Tomi;1
29580;Imi;3
29580;Sanyi;2
29580;Bandi;2
29640;Lali;2
29760;Tomi;1
29940;Józsi;3
30000;Sanyi;1
30120;Csabi;1
30180;Feri;1
30180;Jani;2
30300;Gyuri;2
30300;Imi;1
30420;Imi;1
30420;Pityu;4
30420;Sanyi;4
30480;Feri;2
30480;Tomi;4
30480;Jani;2
30660;Zsombor;3
30720;Lali;2
30780;Sanyi;1
30780;Tomi;2
30780;Laci;3
30840;Józsi;3
31140;Gyuri;2
31380;Tomi;1
31440;Zoli;3
31440;Csabi;2
31500;Zoli;3
31560;Bandi;1
31560;Gabi;3
31620;Imi;3
31680;Zsolti;3
31800;Józsi;2
31800;Bandi;4
32040;Zsolti;4
32580;Bandi;1
32640;Bandi;2
32700;Lali;3
32760;Feri;2
32760;Józsi;1
32760;Zsombor;1
32820;Lali;4
33000;Zoli;3
33060;Gyuri;4
33060;Imi;3
33180;Imi;2
33360;Zsombor;2
33420;Józsi;1
33600;Peti;2
33660;Laci;1
33720;Gyuri;3
34020;Feri;3
34080;Lali;1
34080;Feri;4
34140;Gabi;1
34200;Zoli;2
34260;Lali;2
34320;Gyuszi;4
34440;Gabi;1
34440;Pityu;2
34560;Gabi;4
34680;Józsi;4
34740;Józsi;2
35040;Gabi;1
35160;Sanyi;2
35160;Bandi;3
35280;Feri;1
35280;Imi;3
35340;Peti;1
35580;Csabi;2
35580;Sanyi;1
35700;Lali;1
35700;Sanyi;2
35700;Lali;1
35700;Sanyi;4
35760;Feri;3
35820;Bandi;2
35880;Zsombor;4
35880;Bandi;2
35940;Tomi;2
36120;Feri;3
36120;Gyuri;4
36120;Tomi;2
36180;Tomi;1
36240;Jani;1
36360;Peti;4
36360;Gabi;3
36360;Tibi;3
36360;Peti;4
36420;Józsi;2
36420;Gyuszi;3
36480;Jani;1
36480;Sanyi;2
36480;Zsolti;2
36660;Zsolti;4
36720;Gyuszi;2
36780;Peti;1
36780;Sanyi;2
36780;Zsombor;2
36840;Sanyi;2
36900;Zoli;1
36960;Tomi;2
37080;Gyuszi;3
37080;Csabi;3
37140;Csabi;3
37260;Csabi;1
37320;Csabi;1
37440;Peti;2
37500;Sanyi;4
37560;Pityu;2
37560;Zsolti;3
37560;Gabi;1
37920;Gabi;4
37920;Zsolti;2
37980;Gabi;3
37980;Tibi;2
37980;Feri;3
37980;Csabi;2
38040;Laci;3
38040;Gyuri;2
38340;Laci;3
38340;Sanyi;1
38460;Zsolti;2
38460;Csabi;1
38460;Zsombor;2
38460;Lali;3
38520;Zoli;4
38640;Sanyi;3
38700;Jani;4
38700;Gyuszi;2
38760;Zsombor;4
39060;Peti;4
39060;Imi;2
39120;Gabi;3
39180;Imi;2
39180;Gabi;2
39300;Pityu;3
39480;Csabi;1
39480;Gabi;1
39780;Sanyi;1
39780;Józsi;2
39900;Lali;3
39960;Tomi;4
39960;Lali;4
40200;Feri;2
40200;Tibi;2
40200;Laci;1
40200;Peti;2
40260;Lali;4
40380;Tomi;2
40500;Tomi;3
40500;Sanyi;4
40620;Csabi;3
40680;Imi;2
40680;Tomi;3
40740;Zoli;1
40800;Sanyi;1
40800;Gyuri;4
40980;Feri;1
40980;Zoli;3
41040;Laci;4
41040;Peti;3
41100;Bandi;3
41100;Zsombor;4
41100;Zoli;2
41220;Jani;1
41220;Csabi;3
41280;Tomi;1
41280;Pityu;2
41640;Lali;3
41700;Jani;1
41820;Sanyi;2
41820;Laci;1
41880;Csabi;4
42120;Sanyi;2
42360;Feri;1
42360;Jani;1
42420;Sanyi;2
42480;Zsolti;3
42660;Tibi;2
42660;Gabi;4
42840;Pityu;2
42960;Sanyi;3
43020;Gyuszi;1
43020;Lali;1
43020;Gyuri;1
43020;Sanyi;4
43080;Tibi;2
43080;Csabi;2
43320;Zoli;3
43380;Csabi;3
43440;Pityu;2
43500;Józsi;2
43620;Csabi;2
43620;Zsolti;1
43680;Imi;1
43920;Gyuszi;3
43920;Lali;3
43980;Gabi;4
43980;Pityu;3
43980;Tomi;3
43980;Laci;1
44040;Tibi;2
44040;Gyuri;4
44220;Gabi;2
44220;Feri;4
44280;Zoli;3
44280;Zsombor;1
44340;Gyuri;2
44700;Gyuri;1
44700;Zoli;4
44940;Gyuszi;2
45000;Tomi;3
45000;Laci;4
45060;Imi;3
45120;Feri;3
45240;Lali;1
45240;Zoli;1
45300;Tibi;1
45360;Imi;4
45420;Feri;2
45420;Jani;2
45540;Lali;1
45600;Tomi;3
45600;Tomi;1
45660;Jani;4
45660;Lali;3
